field;api;webpage;webfield;decode
ainf;/sys.b;?;?;?
alla;/sys.b;?;?;?
allm;/sys.b;?;?;?
allp;/sys.b;System;Allow From Ports;decode_listofflags()
avln;/sys.b;?;?;?
bld;/sys.b;?;?;?
brd;/sys.b;System;Model;decode_string()
btm1;/sys.b;?;?;?
btm2;/sys.b;?;?;?
cip;/sys.b;?;?;?
cost;/sys.b;?;?;?
dsc;/sys.b;?;?;?
dtrp;/sys.b;?;?;?
fan1;/sys.b;Health;FAN1;?
fan2;/sys.b;Health;FAN2;?
fan3;/sys.b;Health;FAN3;?
fan4;/sys.b;Health;FAN4;?
frmc;/sys.b;?;?;?
id;/sys.b;System;Identity;decode_string()
igfl;/sys.b;?;?;?
igmp;/sys.b;?;?;?
igmq;/sys.b;?;?;?
igve;/sys.b;?;?;?
ip;/sys.b;?;?;?
iptp;/sys.b;?;?;?
ivl;/sys.b;?;?;?
mac;/sys.b;?;?;?
mgmt;/sys.b;?;?;?
mrkt;/sys.b;?;?;?
npoe;/sys.b;?;?;?
p1c;/sys.b;?;?;?
p1f;/sys.b;?;?;?
p1p;/sys.b;?;?;?
p1s;/sys.b;?;?;?
p1t;/sys.b;?;?;?
p1v;/sys.b;?;?;?
p2c;/sys.b;?;?;?
p2f;/sys.b;?;?;?
p2p;/sys.b;?;?;?
p2s;/sys.b;?;?;?
p2t;/sys.b;?;?;?
p2v;/sys.b;?;?;?
pdsc;/sys.b;?;?;?
phyt;/sys.b;?;?;?
poe;/sys.b;?;?;?
poes;/sys.b;?;?;?
prio;/sys.b;?;?;?
rev;/sys.b;System;Revision;decode_string()
rmac;/sys.b;?;?;?
rpr;/sys.b;?;?;?
sid;/sys.b;System;Serial Number;decode_string()
temp;/sys.b;?;?;?
upgr;/sys.b;?;?;?
upt;/sys.b;?;?;?
ver;/sys.b;Upgrade;Current Installed Version;decode_string()
wdt;/sys.b;?;?;?
[]igmp;/vlan.b;VLANs;IGMP Snooping;utils.decode_checkbox
[]lrn;/vlan.b;VLANs;Learning;utils.decode_checkbox
[]mbr;/vlan.b;VLANs;Members;utils.decode_listofflags
[]mrr;/vlan.b;VLANs;Mirror;utils.decode_checkbox
[]nm;/vlan.b;VLANs;Name;decode_string()
[]piso;/vlan.b;VLANs;Port Isolation;utils.decode_checkbox
[]vid;/vlan.b;VLANs;VLAN ID;int()
an;/link.b;?;?;?
blkp;/link.b;?;?;?
cm[];/link.b;Link;Combo Mode;0x00=auto,0x01=copper,0x02=sfp
comb;/link.b;Link;if combo port;utils.decode_listofflags
dpx;/link.b;?;?;?
dpxc;/link.b;?;?;?
en;/link.b;?;?;?
fctc;/link.b;?;?;?
fctr;/link.b;?;?;?
flt[];/link.b;?;?;?
hop[];/link.b;?;?;?
hops[];/link.b;?;?;?
len[];/link.b;?;?;?
lnk;/link.b;?;?;?
nm[];/link.b;?;?;?
pair[];/link.b;?;?;?
paus;/link.b;?;?;?
prt;/link.b;?;?;?
qsfo;/link.b;?;?;?
qsfp;/link.b;?;?;?
qtyp[];/link.b;?;?;?
rfct;/link.b;?;?;?
sfp;/link.b;?;?;?
sfpo;/link.b;?;?;?
sfpr[];/link.b;Link;SFP Rate Select;0x00=low,0x01=high
spd[];/link.b;?;?;?
spdc[];/link.b;?;?;?
tfct;/link.b;?;?;?
dvid[];/fwd.b;?;?;?
fmc;/fwd.b;?;?;?
fp1;/fwd.b;?;?;?
fp10;/fwd.b;?;?;?
fp11;/fwd.b;?;?;?
fp12;/fwd.b;?;?;?
fp13;/fwd.b;?;?;?
fp14;/fwd.b;?;?;?
fp15;/fwd.b;?;?;?
fp16;/fwd.b;?;?;?
fp17;/fwd.b;?;?;?
fp18;/fwd.b;?;?;?
fp19;/fwd.b;?;?;?
fp2;/fwd.b;?;?;?
fp20;/fwd.b;?;?;?
fp21;/fwd.b;?;?;?
fp22;/fwd.b;?;?;?
